generation,mean_score,max_score,min_score,time
0,-2.029719415307045,-1.827595849831899,-3.144485513369242,107.44236755371094
1,-2.11304302016894,-1.8135480682055156,-3.2758909861246743,108.06643009185791
2,-2.0780931284030277,-1.794374446074168,-3.340163509051005,108.5076973438263
3,-1.997924796740214,-1.8230529228846233,-3.0533538262049356,108.63115048408508
4,-2.233895833293597,-1.8011184136072795,-3.325394868850708,108.46708178520203
5,-2.1422190308570856,-1.8495327234268188,-3.3839488426844277,108.43393564224243
6,-2.067836485306422,-1.8438244859377544,-3.2380109230677285,108.58909392356873
7,-2.106611944238345,-1.7898728052775066,-3.1194547017415366,108.41743016242981
8,-2.0699575195709867,-1.8352991739908855,-3.592797557512919,108.50471305847168
9,-2.046326816082001,-1.8547647595405579,-4.045847495396932,108.4755048751831
10,-2.015484012166659,-1.889350910981496,-3.1563520034154258,108.55988216400146
11,-1.9394228398799895,-1.8071400721867878,-2.028804918130239,108.87894320487976
12,-2.0077424595753355,-1.8564888834953308,-3.440640370051066,109.02297043800354
13,-1.9457053631544112,-1.8606543739636738,-2.0265671610832214,108.55042147636414
14,-2.0833357473214464,-1.8440114458401997,-3.356610099474589,108.03550863265991
15,-1.9986422608296077,-1.892885943253835,-2.64793332417806,108.03739738464355
16,-1.9408363580703738,-1.8025809327761333,-2.042253096898397,108.24335551261902
17,-1.9430955618619916,-1.8570470611254375,-2.0378451148668923,109.2209107875824
18,-1.9559126685063046,-1.8589587410291035,-2.0644043485323587,108.48747634887695
19,-2.040270790457726,-1.8739152749379475,-3.293845534324646,108.3705427646637
20,-1.945948261022568,-1.828637421131134,-2.0341950257619223,108.15405225753784
21,-1.9752725501855217,-1.7990612586339314,-2.5687255462010703,108.44534301757812
22,-1.9738175352414449,-1.8846087058385212,-2.0765347878138223,108.38060450553894
23,-1.9406558781862255,-1.8049165805180867,-2.007027010122935,108.24369740486145
24,-1.9358610997597374,-1.8254931966463726,-2.091769496599833,108.39623355865479
25,-1.9983749151229862,-1.8120197852452595,-3.129848043123881,108.36188316345215
26,-1.9371638397375748,-1.8518338203430176,-2.0213053822517395,111.1357696056366
27,-2.001181944211324,-1.8119573593139648,-3.165587385495504,116.59112310409546
28,-1.9892970989147822,-1.8053012490272522,-3.325085918108622,109.98873901367188
29,-1.952959003051122,-1.8495142062505086,-2.032439192136129,115.19343972206116
30,-1.9721671005090073,-1.823081135749817,-2.963807781537374,114.51527285575867
31,-1.9744606773058577,-1.8019200166066487,-3.2399237155914307,109.92422533035278
32,-1.917736566066742,-1.81535800298055,-1.9800439476966858,109.53932619094849
33,-1.8970195442438123,-1.7178333401679993,-2.0208523670832315,109.3794617652893
34,-2.0121627082427342,-1.821592132250468,-3.126426577568054,109.7842664718628
35,-1.9100360731283825,-1.8235523303349812,-2.0378032326698303,110.46436524391174
36,-1.8977344940106078,-1.8055283824602764,-1.965214212735494,109.26082015037537
37,-1.9114143431186676,-1.8266404469807942,-2.051745613416036,109.04186630249023
38,-1.9175732125838596,-1.8249505162239075,-2.0754098494847617,109.00182938575745
39,-1.9850236803293229,-1.832193930943807,-3.331509272257487,108.90853548049927
40,-1.9121418048938115,-1.8370734651883442,-2.0231672724088035,109.24958062171936
41,-1.907128012180328,-1.782568097114563,-2.040983498096466,109.1268618106842
42,-1.9195644398530323,-1.7665761709213257,-1.989463746547699,108.87375998497009
43,-1.8804047922293345,-1.7552105784416199,-1.9551303188006084,108.82625460624695
44,-1.8855658570925395,-1.7995055317878723,-1.9650333921114604,108.79109263420105
45,-1.88795269827048,-1.7808670004208882,-2.002612809340159,109.47341132164001
46,-1.8827993363142013,-1.7669655084609985,-1.9711833000183105,109.13694262504578
47,-1.889783905943235,-1.7840686440467834,-1.9983310500780742,109.07727575302124
48,-1.8958615362644196,-1.8218927383422852,-1.9759722352027893,108.85726523399353
49,-1.8712660133838654,-1.7760809659957886,-2.02526718378067,109.00326609611511
